Client Name,Industry,What They Sell,Competitor Name,Competitor Website,Facebook Page URL,Meta Ad Library URL,Meta Page ID,Notes
PCF Singapore,Early Childhood Education,Childcare and preschool services,My First Skool,https://www.myfirstskool.com,https://www.facebook.com/myfirstskool,,123456789012345,NTUC-backed childcare provider
PCF Singapore,Early Childhood Education,,Kiddiwinkie Schoolhouse,https://www.kiddiwinkie.com.sg,,,987654321098765,
PCF Singapore,Early Childhood Education,,Skool4Kidz,https://www.skool4kidz.com.sg,https://www.facebook.com/skool4kidz,https://www.facebook.com/ads/library/?view_all_page_id=111222333444555,,Meta Page ID will be extracted from URL column
PCF Singapore,Early Childhood Education,,Little Greenhouse,https://www.littlegreenhouse.com.sg,,,,No Meta setup yet - needs discovery
PCF Singapore,Early Childhood Education,,,,,,,Client-only row - no competitor known yet
Glow Skincare SG,Beauty and Skincare,Vitamin C serums and moisturisers,Dr Jart+ Singapore,https://www.drjart.com,https://www.facebook.com/drjartsg,,222333444555666,K-beauty brand
Glow Skincare SG,Beauty and Skincare,,The Ordinary SG,https://theordinary.com/en-sg,,https://www.facebook.com/ads/library/?view_all_page_id=777888999000111,,Meta Page ID extracted from URL
Glow Skincare SG,Beauty and Skincare,,Tatcha Singapore,https://www.tatcha.com,,,333444555666777,Japanese luxury skincare
Glow Skincare SG,Beauty and Skincare,,,,,,,No competitors identified yet for this client
Tech Startup SG,Technology and SaaS,Project management software,Notion Singapore,,https://www.facebook.com/notion,,444555666777888,Cross-client example: run import twice to see duplicate detection
PCF Singapore,Early Childhood Education,,My First Skool Global,,,,123456789012345,Phase 6 Step 2 demo: BLOCKED - within-CSV Meta Page ID clash with My First Skool above
PCF Singapore,Early Childhood Education,,My First Skool Alt,,https://www.facebook.com/myfirstskool,,,Phase 6 Step 2 demo: BLOCKED - within-CSV Facebook URL clash with My First Skool above
PCF Singapore,Early Childhood Education,,Kiddiwinkie,https://www.kiddiwinkie.com.sg,,,,Phase 6 Step 2 demo: WARN - within-CSV website clash with Kiddiwinkie Schoolhouse above
Glow Skincare SG,Beauty and Skincare,,Skool Brand Crossover,,,,123456789012345,Phase 6 Step 2.1 demo: INFO - cross-client Meta Page ID clash with My First Skool (PCF Singapore) - map now stores this entry
Glow Skincare SG,Beauty and Skincare,,Skool Brand Crossover Alt,,,,123456789012345,Phase 6 Step 2.1 demo: BLOCKED - same-client Meta Page ID clash with Skool Brand Crossover above (would have been missed as INFO in Step 2)
Glow Skincare SG,Beauty and Skincare,,FB Crossover Brand,,https://www.facebook.com/myfirstskool,,,Phase 6 Step 2.1 demo: INFO - cross-client Facebook URL clash with My First Skool (PCF Singapore) - map now stores this entry
Glow Skincare SG,Beauty and Skincare,,FB Crossover Brand Alt,,https://www.facebook.com/myfirstskool,,,Phase 6 Step 2.1 demo: BLOCKED - same-client Facebook URL clash with FB Crossover Brand above (would have been missed as INFO in Step 2)
Glow Skincare SG,Beauty and Skincare,,Suppression Demo Alpha,,,,987654321098765,Phase 6 Step 2.1b fix demo (Meta ID): Step 1/2 - cross-client INFO vs PCF Singapore / Kiddiwinkie Schoolhouse (Meta 987654321098765). Fresh ID not used under Glow before this row. Map registers this entry.
PCF Singapore,Early Childhood Education,,Suppression Demo Alpha,,,,987654321098765,Phase 6 Step 2.1b fix demo (Meta ID): Step 2/2 - BLOCKED vs Kiddiwinkie Schoolhouse (same client PCF). Old code suppressed this BLOCKED because Glow row above had same incomingName+existingName. Fix adds incomingClient so cross-client INFO no longer suppresses same-client BLOCKED.
Glow Skincare SG,Beauty and Skincare,,FB Suppression Demo,,https://www.facebook.com/skool4kidz,,,Phase 6 Step 2.1b fix demo (Facebook URL): Step 1/2 - cross-client INFO vs PCF Singapore / Skool4Kidz (same Facebook URL). Fresh URL not used under Glow before this row. Map registers this entry.
PCF Sin
