account_name,SEO,SEM/SMA,SMM,Industry,What do they sell?
1 TCM,Yes,,,Healthcare - TCM,Traditional Chinese Medicine services
101 Credit Pte Ltd,Yes,,,Financial Services - Licensed Moneylender,Personal loans
21st Century Beauty Spa,Yes,,,Beauty Services - Spa,Spa and beauty services
360 Bathware Pte Ltd,Yes,,,Building Materials - Sanitary Ware,Bathroom and sanitary ware
81 Electrical,Yes,,,Home Services - Electrical,Electrical works and services
A-CHIEVEMENT SOLUTION (S) PTE LTD,Yes,Yes,,B2B - IT / Solutions,IT solutions and services
ABC Photography,Yes,Yes,,Events / Photography,Photography services
ABSOLUTE CHIROPRACTIC PTE. LTD - The Optimisation Suite,,Yes,,Healthcare - Chiropractic,Chiropractic services
Acco Brands,,Yes,,Retail - Stationery / Office,Office supplies and stationery brands
Accountancy Hub,Yes,,,Professional Services - Accounting,Accounting and corporate services
Achieve Medical,Yes,Yes,,Healthcare - Medical Aesthetics,Aesthetic and medical treatments
Acsolv Consult,Yes,,,Professional Services - Consulting,Business consulting
Activate,Yes,,,B2B - IT / Tech Consultancy,"Software development, UI/UX, cloud, Microsoft solutions, resource augmentation"
Adecco Singapore,Yes,Yes,,Employment - Recruitment,Recruitment and staffing services
Aeon Medical & Aesthetics Centre (Paid Ads),Yes,Yes,Yes,Healthcare - Medical Aesthetics,Aesthetic and medical treatments
Afogreen Build,Yes,,,Construction - Green Building,Sustainable construction
AgileAsia,Yes,Yes,,Corporate Training / Consulting,Agile and business transformation training
Aglow Corporate Services,,Yes,,Professional Services - Corporate Sec,Corporate secretarial services
Agnes-ai,Yes,,,B2B - AI SaaS Platform,"AI platform (LLM + Agent) — Singapore Sapiens Technology; comparable to Manus/Complexity, uses Deepseek & Claude LLMs"
Agribusiness Connect Asia (Cheese from USA),,,Yes,Business and trade association,Promote cheeses from USA
Airple,Yes,,,Home Services - Aircon,Air-conditioning servicing and installation
Alcatel-Lucent Enterprise,,Yes,,B2B - Telecom / Networking,Enterprise networking and communications
ALIGN BRACES CLINIC PTE LTD,Yes,,,Healthcare - Dental / Orthodontics,Orthodontic and braces services
Alliance Francaise de Singapour,,Yes,,Education - Language (French),French language classes
Allied Foodservice Equipment (S) Pte Ltd,,Yes,,B2B - F&B Equipment,Commercial kitchen equipment
AlphaLab Capital Pte Ltd,,Yes,,Financial Services - Trading / Fund,Proprietary trading / investment
Ampersand Associates,Yes,,,Professional Services - Consulting,Business consulting
Ancloz Engineering,Yes,,,B2B - Engineering,Engineering services
Anmako,Yes,,,Retail - Apparel (Batik / Linen),"Batik clothing (cheongsam, dresses, men's shirts) and Japanese linen/cotton pyjamas"
Ansac Technology (S) Pte Ltd,Yes,,,B2B - Industrial Tech,Industrial technology / equipment
Antidote,Yes,,,F&B - Cold-Pressed Juice,"Cold-pressed juices, juice cleanses, detox packs (retail + corporate/hotel supply)"
Apollo Global Academy,Yes,Yes,,Education - Enrichment,Academic enrichment
Apple Tree Playhouse,Yes,,,Education - Preschool / Playgroup,Playgroup and childcare
AQ Dance,Yes,,,Education - Dance,Dance classes
Archawyn,Yes,,,Retail - Jewellery (Handcrafted),"Handcrafted bespoke jewellery — pearls, gemstones, jade, 18K vermeil, rhodium"
Ardex - Quicseal Singapore,Yes,,,Building Materials - Waterproofing,Waterproofing and construction chemicals
Arina East,,Yes,,Real Estate - Residential,Residential condo launch
Ark Rack,,Yes,,B2B - Racking / Storage,Industrial racking and storage systems
Artjumma,Yes,,,Retail - Art / Kids,Kids art products / activities
Asia Car Leasing,Yes,,,Automotive - Leasing,Car leasing and rental
Asia Insight,Yes,,,Professional Services - Market Research,Market research services
Aspect Mover & Warehousing Pte Ltd,Yes,Yes,,Logistics - Moving & Storage,Moving and warehousing services
Atlas Technologies Corporation,Yes,,,B2B - Technology,Technology solutions
Aurealis Serviced Residence Pte Ltd,Yes,Yes,,Hospitality - Serviced Residence,Serviced apartments / extended stay
Auspicium Medical,Yes,,,Healthcare - Medical Aesthetics,Aesthetic medical treatments
AutismStep,Yes,Yes,,Healthcare - Special Needs,Autism therapy and intervention
BalletBody,Yes,,,Fitness & Wellness - Ballet Fitness,Ballet-inspired fitness classes
BearyFun Gym (Paid Ads),Yes,Yes,Yes,Fitness & Wellness,Gym memberships and personal training
Beautiful Gatherings,Yes,,,Events / Wedding,Wedding and event services
Bee Choo Corporation Pte Ltd,Yes,Yes,,Beauty Services - Hair,Herbal hair treatment services and products
BELFOR Restoration Services Pte Ltd,Yes,,,Property Services - Restoration,"Property damage restoration (fire, water, mould)"
Bellydance Haven LLP,Yes,,,Education - Dance,Belly dance classes
Beng Chuan Machine,Yes,Yes,,B2B - Machinery,Industrial machinery supply
Bentz Jaz,,Yes,,Retail - Sanitary / Kitchen,Sanitary ware and kitchen products
Bertazzoni,,Yes,,Retail - Premium Kitchen Appliances,"Luxury Italian kitchen appliances — ovens, stoves, cooktops, range hoods, fridges (140-year family brand, showroom/distributor model)"
Best Imprezzion,,Yes,,Retail - Keepsakes / Baby Gifts,"3D hand and foot imprint portraits, castings (baby, family, pet), framed keepsakes"
Beyond Footprint,,Yes,,Travel - Tours,Travel and tour services
Bio Organicare Scalp Pte Ltd,Yes,,,Beauty Services - Scalp,Scalp and hair treatment services
Blue Herring Academy,Yes,,,Education - Tuition (English),"English tuition for secondary, IP, JC and private candidates (G2/G3/NA/O-Level/JC); exam-oriented"
Bluetree Education,,Yes,,Education - Tuition,Tuition / enrichment
Blum South East Asia,,,Yes,B2B - Cabinet Hardware,Cabinet hinges and hardware
Bryan Tan Novena Pte Ltd,Yes,Yes,,Healthcare - Specialist Clinic,Specialist medical clinic
Calvin Lim - SEM Renewal,,Yes,,Financial Services - Insurance,Insurance agent (individual)
CamTech Health,Yes,,,Healthcare - Diagnostics,Health screening and diagnostics
Canaan Dental Pte Ltd,Yes,,,Healthcare - Dental,Dental services
Canatec,Yes,,,B2B - Data Centre Infrastructure,"Precision cooling, liquid cooling, CDU, CRAC/CRAH units, data centre monitoring"
"Cannon Pest Management Co., Ltd (Thailand)",,Yes,,Pest Control,Pest control services
